pid,name
nm3060002,Sophia Hinshelwood
nm1199547,Keith Kupferer
nm0127438,Joseph Luis Caballero
nm0226819,Richard Dillane
nm1699095,Daryl Satcher
nm3059740,Chris Petschler
nm3059726,Aidan Feore
nm1711389,Philip Bulcock
nm0083307,Paul Birchard
nm0507860,Walter Lewis
nm0516020,Vincent Riotta
nm0186406,Nancy Crane
nm0293461,K. Todd Freeman
nm2754138,Matt Shallenberger
nm0331033,Michael Andrew Gorman
nm3060034,Lanny Lutz
nm1197191,Peter DeFaria
nm1208061,Matt Rippy
nm0081070,Andrew Bicknell
nm0048159,Ariyon Bakare
nm0050607,Doug Ballard
nm0933498,Helene Maksoud
nm1035174,Tommy Campbell
nm1035498,Craig Heaney
nm1452416,Lorna Gayle
nm1933893,Lisa McAllister
nm0111730,Peter Brooke
nm2024154,Joshua Rollins
nm0729237,Dale Rivera
nm0500614,Matthew Leitch
nm0001474,Tommy 'Tiny' Lister
nm2480229,Thomas Gaitsch
nm0035628,William Armstrong
nm2643690,Adam Kalesperis
nm0846925,Tristan Tait
nm0916037,Bronson Webb
nm2916966,David Ajala
nm3059516,Gertrude Mosley
nm0753322,Jonathan Ryland
nm0768790,James Scales
nm0140585,Nigel Carrington
nm1128414,Ian Pirie
nm3059545,Lateef Lovejoy
nm3060088,Grahame Edwards
nm0598236,Roger Monk
nm2788751,Ronan Summers
nm2647349,Wai Wong
nm3059835,Michael Corey Foster
nm3060152,Hannah Gunn
nm0483029,Brandon Lambdin
nm0001486,Sidney Lumet
nm0741627,Reginald Rose
nm0741627,Reginald Rose
nm0000842,Martin Balsam
nm0275835,John Fiedler
nm0002011,Lee J. Cobb
nm0550855,E.G. Marshall
nm0001430,Jack Klugman
nm0083081,Edward Binns
nm0912001,Jack Warden
nm0000020,Henry Fonda
nm0842137,Joseph Sweeney
nm0003225,Ed Begley
nm0903667,George Voskovec
nm0916434,Robert Webber
nm0000229,Steven Spielberg
nm0447745,Thomas Keneally
nm0001873,Steven Zaillian
nm0000553,Liam Neeson
nm0001426,Ben Kingsley
nm0000146,Ralph Fiennes
nm0328751,Caroline Goodall
nm0755974,Jonathan Sagall
nm0001110,Embeth Davidtz
nm0311343,Malgorzata Gebel
nm0506616,Shmuel Levy
nm0411980,Mark Ivanir
nm0534151,Béatrice Macola
nm0786614,Andrzej Seweryn
nm0903110,Friedrich von Thun
nm0525181,Krzysztof Luft
nm0624582,Harry Nehring
nm0919256,Norbert Weisser
nm0633058,Adi Nitzan
nm0773946,Michael Schneider
nm0264577,Miri Fabian
nm0610839,Anna Mucha
nm0592651,Albert Misak
nm0330457,Michael Gordon
nm0342800,Aldona Grochal
nm0944216,Jacek Wójcicki
nm0658831,Beata Paluch
nm0689320,Piotr Polk
nm0196710,Ezra Dagan
nm3284411,Beata Deskur
nm0381812,Rami Heuberger
nm0468956,Leopold Kozlowski
nm0637360,Jerzy Nowak
nm0043303,Uri Avrahami
nm0797171,Adam Siemion
nm0199259,Magdalena Dandourian
nm0216117,Pawel Delag
nm0175572,Shabtai Konorti
nm0196451,Oliwia Dabrowska
nm0084402,Henryk Bista
nm0102940,Tadeusz Bradecki
nm0458352,Wojciech Klata
nm0530581,Elina Löwensohn
nm0463875,Ewa Kolasinska
nm0475460,Bettina Kupfer
nm0477134,Grzegorz Kwas
nm0560529,Vili Matula
nm0462610,Stanislaw Koczanowicz
nm0039879,Hans-Jörg Assmann
nm0496087,Geno Lechner
nm0773590,August Schmölzer
nm0685598,Ludger Pistor
