mid,gid
tt0111161,8
tt0068646,6
tt0068646,8
tt0071562,6
tt0071562,8
tt0468569,1
tt0468569,6
tt0468569,8
tt0468569,24
tt0050083,6
tt0050083,8
tt0108052,4
tt0108052,8
tt0108052,13
tt0167260,2
tt0167260,8
tt0167260,10
tt0110912,6
tt0110912,8
tt0060196,26
tt0120737,1
tt0120737,2
tt0120737,8
tt0120737,10
tt0137523,8
tt0109830,8
tt0109830,20
tt1375666,1
tt1375666,2
tt1375666,21
tt1375666,24
tt0080684,1
tt0080684,2
tt0080684,10
tt0080684,21
tt0167261,2
tt0167261,8
tt0167261,10
tt0133093,1
tt0133093,21
tt0099685,4
tt0099685,6
tt0099685,8
tt0073486,8
tt0047478,1
tt0047478,2
tt0047478,8
tt0114369,6
tt0114369,8
tt0114369,17
tt0114369,24
tt0118799,5
tt0118799,8
tt0118799,20
tt0118799,25
tt0317248,6
tt0317248,8
tt0102926,6
tt0102926,8
tt0102926,24
tt0038650,8
tt0038650,9
tt0038650,10
tt0076759,1
tt0076759,2
tt0076759,10
tt0076759,21
tt6751668,5
tt6751668,8
tt6751668,24
tt0120815,8
tt0120815,25
tt0245429,3
tt0245429,2
tt0245429,9
tt0245429,10
tt0245429,17
tt0120689,6
tt0120689,8
tt0120689,10
tt0120689,17
tt0816692,2
tt0816692,8
tt0816692,21
tt0816692,24
tt0110413,1
tt0110413,6
tt0110413,8
tt0110413,24
tt0114814,6
tt0114814,17
tt0114814,24
tt0056058,1
tt0056058,8
tt0056058,13
tt0110357,3
tt0110357,2
tt0110357,8
tt0110357,9
tt0110357,16
tt0120586,8
tt0253474,4
tt0253474,8
tt0253474,15
tt0253474,25
tt0103064,1
tt0103064,21
tt0088763,2
tt0088763,5
tt0088763,21
tt0027977,5
tt0027977,8
tt0027977,9
tt0027977,20
tt0054215,14
tt0054215,17
tt0054215,24
tt0172495,1
tt0172495,2
tt0172495,8
tt0021749,5
tt0021749,8
tt0021749,20
tt0407887,6
tt0407887,8
tt0407887,24
tt1675434,4
tt1675434,5
tt1675434,8
tt2582802,8
tt2582802,15
tt0482571,8
tt0482571,17
tt0482571,21
tt0482571,24
tt0064116,26
tt0095327,3
tt0095327,8
tt0095327,25
tt0034583,8
tt0034583,20
tt0034583,25
tt0095765,8
tt0047396,17
tt0047396,24
tt7286456,6
tt7286456,8
tt7286456,24
tt0078748,14
tt0078748,21
tt0078788,8
tt0078788,17
tt0078788,25
tt0209144,17
tt0209144,24
tt0082971,1
tt0082971,2
tt0032553,5
tt0032553,8
tt0032553,25
tt0405094,8
tt0405094,17
tt0405094,24
tt1853728,8
tt1853728,26
tt0050825,8
tt0050825,25
tt0081505,8
tt0081505,14
tt4154756,1
tt4154756,2
tt4154756,21
tt0910970,3
tt0910970,2
tt0910970,9
tt0910970,21
tt0043014,8
tt0043014,11
tt4633694,3
tt4633694,1
tt4633694,2
tt4633694,9
tt4633694,21
tt0119698,3
tt0119698,2
tt0119698,10
tt0057012,5
tt0364569,1
tt0364569,8
tt0364569,17
tt0364569,24
tt0051201,6
tt0051201,8
tt0051201,17
tt0051201,24
tt0066763,8
tt0066763,16
tt4154796,1
tt4154796,2
tt4154796,8
tt4154796,21
tt1345836,1
tt1345836,2
tt0087843,6
tt0087843,8
tt0090605,1
tt0090605,2
tt0090605,21
tt0090605,24
tt5311514,3
tt5311514,8
tt5311514,10
tt5311514,20
tt2380307,3
tt2380307,2
tt2380307,9
tt2380307,10
tt2380307,15
tt2380307,17
tt0169547,8
tt0112573,4
tt0112573,8
tt0112573,13
tt0112573,25
tt0082096,2
tt0082096,8
tt0082096,24
tt0082096,25
tt1187043,5
tt1187043,8
tt0114709,3
tt0114709,2
tt0114709,5
tt0114709,9
tt0114709,10
tt0057565,6
tt0057565,8
tt0057565,17
tt0057565,24
tt0986264,8
tt0986264,9
tt8579674,8
tt8579674,25
tt0086190,1
tt0086190,2
tt0086190,10
tt0086190,21
tt0086879,4
tt0086879,8
tt0086879,13
tt0086879,15
tt0105236,6
tt0105236,8
tt0105236,24
tt0361748,2
tt0361748,8
tt0361748,25
tt0119217,8
tt0119217,20
tt0062622,2
tt0062622,21
tt0052357,17
tt0052357,20
tt0052357,24
tt0180093,8
tt0022100,6
tt0022100,17
tt0022100,24
tt5074352,1
tt5074352,4
tt5074352,8
tt5074352,22
tt0338013,8
tt0338013,20
tt0338013,21
tt0033467,8
tt0033467,17
tt2106476,8
tt8267604,8
tt0093058,8
tt0093058,25
tt0053125,2
tt0053125,17
tt0053125,24
tt0066921,6
tt0066921,8
tt0066921,21
tt0040522,8
tt0012349,5
tt0012349,8
tt0012349,9
tt0208092,5
tt0208092,6
tt0045152,5
tt0045152,16
tt0045152,20
tt0086250,6
tt0086250,8
tt0075314,6
tt0075314,8
tt0211915,5
tt0211915,20
tt0056172,2
tt0056172,4
tt0056172,8
tt0056172,13
tt0056172,25
tt0070735,5
tt0070735,6
tt0070735,8
tt0435761,3
tt0435761,2
tt0435761,5
tt0435761,9
tt0435761,10
tt0017136,8
tt0017136,21
tt0044741,8
tt0059578,26
tt1832382,8
tt0036775,6
tt0036775,8
tt0036775,11
tt0036775,17
tt0036775,24
tt0053604,5
tt0053604,8
tt0053604,20
tt1255953,8
tt1255953,17
tt1255953,25
tt0056592,6
tt0056592,8
tt0097576,1
tt0097576,2
tt1049413,3
tt1049413,2
tt1049413,5
tt1049413,9
tt0119488,6
tt0119488,8
tt0119488,17
tt0119488,24
tt0113277,6
tt0113277,8
tt0113277,24
tt0071853,2
tt0071853,5
tt0071853,10
tt0095016,1
tt0095016,24
tt0042876,6
tt0042876,8
tt0042876,17
tt0055630,1
tt0055630,8
tt0055630,24
tt0372784,1
tt0372784,2
tt0091251,8
tt0091251,25
tt6966692,4
tt6966692,5
tt6966692,8
tt6966692,15
tt0118849,8
tt0118849,9
tt0118849,22
tt0363163,4
tt0363163,8
tt0363163,13
tt0363163,25
tt0105695,8
tt0105695,26
tt0053291,5
tt0053291,15
tt0053291,20
tt0089881,1
tt0089881,8
tt0089881,25
tt0347149,3
tt0347149,2
tt0347149,9
tt0347149,10
tt0057115,2
tt0057115,8
tt0057115,13
tt0057115,24
tt0057115,25
tt0042192,8
tt0268978,4
tt0268978,8
tt0112641,6
tt0112641,8
tt0457430,8
tt0457430,10
tt0457430,25
tt1305806,8
tt1305806,17
tt1305806,20
tt1305806,24
tt0096283,3
tt0096283,9
tt0096283,10
tt0993846,4
tt0993846,6
tt0993846,8
tt0081398,4
tt0081398,8
tt0081398,22
tt0120735,5
tt0120735,6
tt0040897,2
tt0040897,8
tt0040897,26
tt0055031,8
tt0055031,25
tt0469494,8
tt0476735,8
tt0476735,9
tt5027774,5
tt5027774,6
tt5027774,8
tt0015864,2
tt0015864,5
tt0015864,8
tt0015864,26
tt0071315,8
tt0071315,17
tt0071315,24
tt0046912,6
tt0046912,24
tt0434409,1
tt0434409,8
tt0434409,21
tt0434409,24
tt0050976,8
tt0050976,10
tt0477348,6
tt0477348,8
tt0477348,24
tt2096673,3
tt2096673,2
tt2096673,5
tt2096673,8
tt2096673,9
tt2096673,10
tt1291584,8
tt1291584,22
tt1130884,17
tt1130884,24
tt0117951,8
tt0080678,4
tt0080678,8
tt0167404,8
tt0167404,17
tt0167404,24
tt0084787,14
tt0084787,17
tt0084787,21
tt0031381,8
tt0031381,13
tt0031381,20
tt0031381,25
tt3170832,8
tt3170832,24
tt0107290,1
tt0107290,2
tt0107290,21
tt0107290,24
tt0050986,8
tt0050986,20
tt0083658,1
tt0083658,21
tt0083658,24
tt0050212,2
tt0050212,8
tt0050212,25
tt0266543,3
tt0266543,2
tt0266543,5
tt0266543,9
tt0079944,8
tt0079944,21
tt0047296,6
tt0047296,8
tt0047296,24
tt0041959,11
tt0041959,17
tt0041959,24
tt0116282,6
tt0116282,8
tt0116282,24
tt0266697,1
tt0266697,6
tt0266697,24
tt0120382,5
tt0120382,8
tt0120382,21
tt1205489,8
tt0046438,8
tt0077416,8
tt0077416,25
tt0353969,1
tt0353969,6
tt0353969,8
tt0353969,17
tt0353969,24
tt3011894,5
tt3011894,8
tt3011894,24
tt4729430,3
tt4729430,2
tt4729430,5
tt4729430,9
tt0116231,6
tt0116231,8
tt0116231,24
tt8108198,6
tt8108198,24
tt0978762,3
tt0978762,5
tt0978762,8
tt0978762,9
tt0118715,5
tt0118715,6
tt0118715,22
tt0107207,4
tt0107207,8
tt2267998,8
tt2267998,17
tt2267998,24
tt2119532,4
tt2119532,8
tt2119532,13
tt2119532,25
tt2278388,2
tt2278388,5
tt2278388,6
tt0035446,5
tt0035446,25
tt1950186,1
tt1950186,4
tt1950186,8
tt1950186,22
tt0060827,8
tt0060827,24
tt0112471,8
tt0112471,20
tt0264464,4
tt0264464,6
tt0264464,8
tt0892769,3
tt0892769,1
tt0892769,2
tt0892769,9
tt0892769,10
tt0017925,1
tt0017925,2
tt0017925,5
tt0017925,8
tt0017925,25
tt0031679,5
tt0031679,8
tt0015324,1
tt0015324,5
tt0015324,20
tt1392214,6
tt1392214,8
tt1392214,17
tt1392214,24
tt2024544,4
tt2024544,8
tt2024544,13
tt0061512,6
tt0061512,8
tt1392190,1
tt1392190,2
tt1392190,21
tt1392190,24
tt0072684,2
tt0072684,8
tt0072684,13
tt0072684,25
tt0074958,8
tt0046268,2
tt0046268,8
tt0046268,24
tt0092005,2
