mid,gid
tt0045152,20
tt0083658,1
tt0083658,21
tt0083658,24
tt0113277,6
tt0113277,8
tt0113277,24
tt0443706,6
tt0443706,8
tt0443706,17
tt0443706,24
tt0106677,5
tt0162222,2
tt0162222,8
tt0162222,20
tt3397884,1
tt3397884,6
tt3397884,8
tt3397884,17
tt3397884,24
tt0073486,8
tt2380307,3
tt2380307,2
tt2380307,9
tt2380307,10
tt2380307,15
tt2380307,17
tt0304141,2
tt0304141,9
tt0304141,10
tt0304141,17
tt0144084,5
tt0144084,6
tt0144084,8
tt5027774,5
tt5027774,6
tt5027774,8
tt0167404,8
tt0167404,17
tt0167404,24
tt1663202,1
tt1663202,2
tt1663202,4
tt1663202,8
tt1663202,13
tt1663202,26
tt0167261,2
tt0167261,8
tt0167261,10
tt4364194,2
tt4364194,5
tt4364194,8
tt4364194,22
tt0240772,6
tt0240772,24
tt0066921,6
tt0066921,8
tt0066921,21
tt2543164,8
tt2543164,17
tt2543164,21
tt2543164,24
tt0105236,6
tt0105236,8
tt0105236,24
tt0080339,5
tt1010048,8
tt1010048,20
tt0332280,8
tt0332280,20
tt0264464,4
tt0264464,6
tt0264464,8
tt0253474,4
tt0253474,8
tt0253474,15
tt0253474,25
tt0112573,4
tt0112573,8
tt0112573,13
tt0112573,25
tt0414387,8
tt0414387,20
tt0054215,14
tt0054215,17
tt0054215,24
tt0364569,1
tt0364569,8
tt0364569,17
tt0364569,24
tt0903624,2
tt0903624,9
tt0903624,10
tt0416449,1
tt0416449,8
tt2948356,3
tt2948356,2
tt2948356,5
tt2948356,6
tt2948356,9
tt2948356,17
tt3315342,1
tt3315342,8
tt3315342,21
tt3315342,24
tt1291584,8
tt1291584,22
tt0120586,8
tt1843866,1
tt1843866,2
tt1843866,21
tt1843866,24
tt1504320,4
tt1504320,8
tt1504320,13
tt0457430,8
tt0457430,10
tt0457430,25
tt0780504,6
tt0780504,8
tt1568346,6
tt1568346,8
tt1568346,17
tt1568346,24
tt0486655,2
tt0486655,9
tt0486655,10
tt0486655,20
tt1517451,8
tt1517451,15
tt1517451,20
tt0067992,9
tt0067992,10
tt0067992,16
tt0118799,5
tt0118799,8
tt0118799,20
tt0118799,25
tt0114746,17
tt0114746,21
tt0114746,24
tt4698684,2
tt4698684,5
tt4698684,8
tt0120382,5
tt0120382,8
tt0120382,21
tt0099674,6
tt0099674,8
tt0382932,3
tt0382932,2
tt0382932,5
tt0382932,8
tt0382932,9
tt0382932,10
tt0454876,2
tt0454876,8
tt0454876,10
tt0093773,1
tt0093773,2
tt0093773,21
tt0093773,24
tt0105695,8
tt0105695,26
tt0097576,1
tt0097576,2
tt0246578,8
tt0246578,17
tt0246578,21
tt0246578,24
tt0092005,2
tt0092005,8
tt0829482,5
tt0363163,4
tt0363163,8
tt0363163,13
tt0363163,25
tt0103064,1
tt0103064,21
tt5649144,8
tt0058331,5
tt0058331,9
tt0058331,10
tt0058331,16
tt0381061,1
tt0381061,2
tt0381061,24
tt0093058,8
tt0093058,25
tt0166924,8
tt0166924,17
tt0166924,24
tt1631867,1
tt1631867,2
tt1631867,21
tt1074638,1
tt1074638,2
tt1074638,24
tt1675434,4
tt1675434,5
tt1675434,8
tt0926084,2
tt0926084,9
tt0926084,10
tt0926084,17
tt0472043,1
tt0472043,2
tt0472043,8
tt0472043,24
tt0257044,6
tt0257044,8
tt0257044,24
tt0087843,6
tt0087843,8
tt2872718,6
tt2872718,8
tt2872718,24
tt0947798,8
tt0947798,24
tt1045658,5
tt1045658,8
tt1045658,20
tt5083738,4
tt5083738,5
tt5083738,8
tt5083738,13
tt2084970,4
tt2084970,8
tt2084970,24
tt2084970,25
tt0118749,8
tt0108399,6
tt0108399,8
tt0108399,20
tt0108399,24
tt0758758,2
tt0758758,4
tt0758758,8
tt2802144,1
tt2802144,2
tt2802144,5
tt2802144,24
tt0417741,1
tt0417741,2
tt0417741,9
tt0417741,10
tt0417741,17
tt0094226,6
tt0094226,8
tt0094226,24
tt2562232,5
tt2562232,8
tt0327056,6
tt0327056,8
tt0327056,17
tt0327056,24
tt0087469,1
tt0087469,2
tt0047478,1
tt0047478,2
tt0047478,8
tt0059742,4
tt0059742,8
tt0059742,9
tt0059742,16
tt0059742,20
tt1454029,8
tt8267604,8
tt0088247,1
tt0088247,21
tt4016934,8
tt4016934,20
tt4016934,24
tt1119646,5
tt0120762,3
tt0120762,2
tt0120762,9
tt0120762,10
tt0120762,16
tt0120762,25
tt0317248,6
tt0317248,8
tt0116282,6
tt0116282,8
tt0116282,24
tt5311514,3
tt5311514,8
tt5311514,10
tt5311514,20
tt2543472,8
tt2543472,9
tt0796366,1
tt0796366,2
tt0796366,21
tt0084787,14
tt0084787,17
tt0084787,21
tt0064116,26
tt0077416,8
tt0077416,25
tt0139654,6
tt0139654,8
